Year,Month,Day,Weekday,Hour_0,VehicleType,counts
2023,9,25,Monday,0,31,59
2023,9,25,Monday,0,32,13
2023,9,25,Monday,0,41,3
2023,9,25,Monday,0,42,2
2023,9,25,Monday,1,31,32
2023,9,25,Monday,1,32,11
2023,9,25,Monday,3,31,30
2023,9,25,Monday,3,32,18
2023,9,25,Monday,4,31,59
2023,9,25,Monday,4,32,34
2023,9,25,Monday,5,31,138
2023,9,25,Monday,5,32,46
2023,9,25,Monday,5,41,2
2023,9,25,Monday,6,31,289
2023,9,25,Monday,6,32,81
2023,9,25,Monday,6,41,7
2023,9,25,Monday,7,31,277
2023,9,25,Monday,7,32,100
2023,9,25,Monday,7,41,12
2023,9,25,Monday,7,42,1
2023,9,25,Monday,8,31,325
2023,9,25,Monday,8,32,114
2023,9,25,Monday,8,41,24
2023,9,25,Monday,8,42,2
2023,9,25,Monday,9,31,482
2023,9,25,Monday,9,32,168
2023,9,25,Monday,9,41,13
2023,9,25,Monday,10,31,604
2023,9,25,Monday,10,32,206
2023,9,25,Monday,10,41,19
2023,9,25,Monday,10,42,1
2023,9,25,Monday,11,31,463
2023,9,25,Monday,11,32,142
2023,9,25,Monday,11,41,11
2023,9,25,Monday,12,31,433
2023,9,25,Monday,12,32,130
2023,9,25,Monday,12,41,11
2023,9,25,Monday,13,31,346
2023,9,25,Monday,13,32,105
2023,9,25,Monday,13,41,9
2023,9,25,Monday,14,31,365
2023,9,25,Monday,14,32,101
2023,9,25,Monday,14,41,7
2023,9,25,Monday,14,42,2
2023,9,25,Monday,15,31,290
2023,9,25,Monday,15,32,108
2023,9,25,Monday,15,41,10
2023,9,25,Monday,15,42,1
2023,9,25,Monday,16,31,321
2023,9,25,Monday,16,32,114
2023,9,25,Monday,16,41,13
2023,9,25,Monday,16,42,1
2023,9,25,Monday,17,31,323
2023,9,25,Monday,17,32,116
2023,9,25,Monday,17,41,9
2023,9,25,Monday,17,42,1
2023,9,25,Monday,18,31,302
2023,9,25,Monday,18,32,71
2023,9,25,Monday,18,41,10
2023,9,25,Monday,19,31,237
2023,9,25,Monday,19,32,51
2023,9,25,Monday,19,41,9
2023,9,25,Monday,19,42,1
2023,9,25,Monday,20,31,190
2023,9,25,Monday,20,32,53
2023,9,25,Monday,20,41,5
2023,9,25,Monday,20,42,2
2023,9,25,Monday,21,5,5
2023,9,25,Monday,21,31,182
2023,9,25,Monday,21,32,37
2023,9,25,Monday,21,41,5
2023,9,25,Monday,21,42,5
2023,9,25,Monday,22,5,1
2023,9,25,Monday,22,31,131
2023,9,25,Monday,22,32,41
2023,9,25,Monday,22,41,5
2023,9,25,Monday,23,5,2
2023,9,25,Monday,23,31,98
2023,9,25,Monday,23,32,25
2023,9,25,Monday,23,41,2
2023,9,26,Tuesday,0,5,2
2023,9,26,Tuesday,0,31,67
2023,9,26,Tuesday,0,32,16
2023,9,26,Tuesday,0,41,3
2023,9,26,Tuesday,1,31,39
2023,9,26,Tuesday,1,32,8
2023,9,26,Tuesday,2,31,26
2023,9,26,Tuesday,2,32,15
2023,9,26,Tuesday,3,31,30
2023,9,26,Tuesday,3,32,17
2023,9,26,Tuesday,4,31,71
2023,9,26,Tuesday,4,32,46
2023,9,26,Tuesday,5,31,132
2023,9,26,Tuesday,5,32,62
2023,9,26,Tuesday,5,41,1
2023,9,26,Tuesday,6,31,202
2023,9,26,Tuesday,6,32,99
2023,9,26,Tuesday,6,41,7
2023,9,26,Tuesday,7,31,227
2023,9,26,Tuesday,7,32,91
2023,9,26,Tuesday,7,41,16
2023,9,26,Tuesday,8,31,299
2023,9,26,Tuesday,8,32,103
2023,9,26,Tuesday,8,41,20
2023,9,26,Tuesday,8,42,1
2023,9,26,Tuesday,9,31,476
2023,9,26,Tuesday,9,32,185
2023,9,26,Tuesday,9,41,20
2023,9,26,Tuesday,9,42,1
2023,9,26,Tuesday,10,31,549
2023,9,26,Tuesday,10,32,177
2023,9,26,Tuesday,10,41,18
2023,9,26,Tuesday,10,42,1
2023,9,26,Tuesday,11,31,468
2023,9,26,Tuesday,11,32,169
2023,9,26,Tuesday,11,41,16
2023,9,26,Tuesday,12,31,414
2023,9,26,Tuesday,12,32,143
2023,9,26,Tuesday,12,41,9
2023,9,26,Tuesday,13,31,342
2023,9,26,Tuesday,13,32,124
2023,9,26,Tuesday,13,41,9
2023,9,26,Tuesday,14,31,338
2023,9,26,Tuesday,14,32,120
2023,9,26,Tuesday,14,41,13
2023,9,26,Tuesday,15,31,317
2023,9,26,Tuesday,15,32,128
2023,9,26,Tuesday,15,41,12
2023,9,26,Tuesday,16,31,330
2023,9,26,Tuesday,16,32,94
2023,9,26,Tuesday,16,41,14
2023,9,26,Tuesday,17,31,315
2023,9,26,Tuesday,17,32,132
2023,9,26,Tuesday,17,41,5
2023,9,26,Tuesday,18,31,299
2023,9,26,Tuesday,18,32,80
2023,9,26,Tuesday,18,41,13
2023,9,26,Tuesday,19,31,249
2023,9,26,Tuesday,19,32,60
2023,9,26,Tuesday,19,41,7
2023,9,26,Tuesday,20,31,222
2023,9,26,Tuesday,20,32,56
2023,9,26,Tuesday,20,41,8
2023,9,26,Tuesday,20,42,1
2023,9,26,Tuesday,21,31,158
2023,9,26,Tuesday,21,32,48
2023,9,26,Tuesday,21,41,3
2023,9,26,Tuesday,21,42,4
2023,9,26,Tuesday,22,31,144
2023,9,26,Tuesday,22,32,31
2023,9,26,Tuesday,22,41,3
2023,9,26,Tuesday,23,31,88
2023,9,26,Tuesday,23,32,24
2023,9,26,Tuesday,23,41,2
2023,9,27,Wednesday,0,31,45
2023,9,27,Wednesday,0,32,18
2023,9,27,Wednesday,0,41,3
2023,9,27,Wednesday,1,31,34
2023,9,27,Wednesday,1,32,20
2023,9,27,Wednesday,2,31,34
2023,9,27,Wednesday,2,32,16
2023,9,27,Wednesday,3,31,34
2023,9,27,Wednesday,3,32,19
2023,9,27,Wednesday,4,31,55
2023,9,27,Wednesday,4,32,32
2023,9,27,Wednesday,4,42,1
2023,9,27,Wednesday,5,31,136
2023,9,27,Wednesday,5,32,52
2023,9,27,Wednesday,5,41,2
2023,9,27,Wednesday,6,31,223
2023,9,27,Wednesday,6,32,79
2023,9,27,Wednesday,6,41,3
2023,9,27,Wednesday,7,31,237
2023,9,27,Wednesday,7,32,110
2023,9,27,Wednesday,7,41,11
2023,9,27,Wednesday,7,42,1
2023,9,27,Wednesday,8,31,315
2023,9,27,Wednesday,8,32,96
2023,9,27,Wednesday,8,41,20
2023,9,27,Wednesday,9,31,413
2023,9,27,Wednesday,9,32,161
2023,9,27,Wednesday,9,41,21
2023,9,27,Wednesday,9,42,2
2023,9,27,Wednesday,10,31,537
2023,9,27,Wednesday,10,32,181
2023,9,27,Wednesday,10,41,13
2023,9,27,Wednesday,10,42,1
2023,9,27,Wednesday,11,31,495
2023,9,27,Wednesday,11,32,160
2023,9,27,Wednesday,11,41,12
2023,9,27,Wednesday,11,42,1
2023,9,27,Wednesday,12,31,398
2023,9,27,Wednesday,12,32,151
2023,9,27,Wednesday,12,41,9
2023,9,27,Wednesday,13,31,386
2023,9,27,Wednesday,13,32,128
2023,9,27,Wednesday,13,41,6
2023,9,27,Wednesday,13,42,1
2023,9,27,Wednesday,14,31,368
2023,9,27,Wednesday,14,32,115
2023,9,27,Wednesday,14,41,8
2023,9,27,Wednesday,15,31,346
2023,9,27,Wednesday,15,32,119
2023,9,27,Wednesday,15,41,9
2023,9,27,Wednesday,16,31,339
2023,9,27,Wednesday,16,32,124
2023,9,27,Wednesday,16,41,14
2023,9,27,Wednesday,16,42,2
2023,9,27,Wednesday,17,31,346
2023,9,27,Wednesday,17,32,119
2023,9,27,Wednesday,17,41,7
2023,9,27,Wednesday,17,42,1
2023,9,27,Wednesday,18,31,320
2023,9,27,Wednesday,18,32,88
2023,9,27,Wednesday,18,41,8
2023,9,27,Wednesday,19,31,316
2023,9,27,Wednesday,19,32,58
2023,9,27,Wednesday,19,41,9
2023,9,27,Wednesday,20,31,234
2023,9,27,Wednesday,20,32,76
2023,9,27,Wednesday,20,41,9
2023,9,27,Wednesday,20,42,6
2023,9,27,Wednesday,21,31,207
2023,9,27,Wednesday,21,32,41
2023,9,27,Wednesday,21,41,6
2023,9,27,Wednesday,21,42,3
2023,9,27,Wednesday,22,31,147
2023,9,27,Wednesday,22,32,30
2023,9,27,Wednesday,22,41,4
2023,9,27,Wednesday,23,31,98
2023,9,27,Wednesday,23,32,26
2023,9,27,Wednesday,23,41,2
2023,9,28,Thursday,0,31,60
2023,9,28,Thursday,0,32,16
2023,9,28,Thursday,0,41,3
2023,9,28,Thursday,1,31,46
2023,9,28,Thursday,1,32,12
2023,9,28,Thursday,2,31,33
2023,9,28,Thursday,2,32,16
2023,9,28,Thursday,3,31,34
2023,9,28,Thursday,3,32,23
2023,9,28,Thursday,4,31,76
2023,9,28,Thursday,4,32,42
2023,9,28,Thursday,4,42,2
2023,9,28,Thursday,5,31,142
2023,9,28,Thursday,5,32,56
2023,9,28,Thursday,5,41,2
2023,9,28,Thursday,6,31,244
2023,9,28,Thursday,6,32,94
2023,9,28,Thursday,6,41,5
2023,9,28,Thursday,6,42,1
2023,9,28,Thursday,7,31,231
2023,9,28,Thursday,7,32,85
2023,9,28,Thursday,7,41,12
2023,9,28,Thursday,8,31,283
2023,9,28,Thursday,8,32,106
2023,9,28,Thursday,8,41,13
2023,9,28,Thursday,9,31,451
2023,9,28,Thursday,9,32,146
2023,9,28,Thursday,9,41,13
2023,9,28,Thursday,9,42,1
2023,9,28,Thursday,10,31,514
2023,9,28,Thursday,10,32,172
2023,9,28,Thursday,10,41,16
2023,9,28,Thursday,10,42,1
2023,9,28,Thursday,11,31,484
2023,9,28,Thursday,11,32,162
2023,9,28,Thursday,11,41,10
2023,9,28,Thursday,12,31,421
2023,9,28,Thursday,12,32,140
2023,9,28,Thursday,12,41,11
2023,9,28,Thursday,13,31,469
2023,9,28,Thursday,13,32,143
2023,9,28,Thursday,13,41,11
2023,9,28,Thursday,14,31,462
2023,9,28,Thursday,14,32,130
2023,9,28,Thursday,14,41,12
2023,9,28,Thursday,15,31,507
2023,9,28,Thursday,15,32,150
2023,9,28,Thursday,15,41,9
2023,9,28,Thursday,15,42,1
2023,9,28,Thursday,16,31,471
2023,9,28,Thursday,16,32,132
2023,9,28,Thursday,16,41,15
2023,9,28,Thursday,17,31,404
2023,9,28,Thursday,17,32,131
2023,9,28,Thursday,17,41,7
2023,9,28,Thursday,18,31,424
2023,9,28,Thursday,18,32,109
2023,9,28,Thursday,18,41,18
2023,9,28,Thursday,19,31,444
2023,9,28,Thursday,19,32,112
2023,9,28,Thursday,19,41,10
2023,9,28,Thursday,20,31,493
2023,9,28,Thursday,20,32,102
2023,9,28,Thursday,20,41,12
2023,9,28,Thursday,20,42,1
2023,9,28,Thursday,21,31,432
2023,9,28,Thursday,21,32,95
2023,9,28,Thursday,21,41,5
2023,9,28,Thursday,21,42,1
2023,9,28,Thursday,22,31,355
2023,9,28,Thursday,22,32,75
2023,9,28,Thursday,22,41,6
2023,9,28,Thursday,23,31,363
2023,9,28,Thursday,23,32,104
2023,9,29,Friday,0,31,333
2023,9,29,Friday,0,32,72
2023,9,29,Friday,0,41,7
2023,9,29,Friday,1,31,212
2023,9,29,Friday,1,32,41
2023,9,29,Friday,1,42,2
2023,9,29,Friday,2,31,179
2023,9,29,Friday,2,32,32
2023,9,29,Friday,3,31,162
