Year,Month,Day,Weekday,Hour_0,VehicleType,counts
2023,9,25,Monday,0,5,28
2023,9,25,Monday,0,31,19
2023,9,25,Monday,0,32,5
2023,9,25,Monday,0,42,7
2023,9,25,Monday,1,5,35
2023,9,25,Monday,1,31,10
2023,9,25,Monday,1,32,3
2023,9,25,Monday,1,42,8
2023,9,25,Monday,3,5,74
2023,9,25,Monday,3,31,9
2023,9,25,Monday,3,32,3
2023,9,25,Monday,3,42,3
2023,9,25,Monday,4,5,67
2023,9,25,Monday,4,31,14
2023,9,25,Monday,4,32,6
2023,9,25,Monday,4,42,9
2023,9,25,Monday,5,5,39
2023,9,25,Monday,5,31,33
2023,9,25,Monday,5,32,14
2023,9,25,Monday,5,41,3
2023,9,25,Monday,5,42,11
2023,9,25,Monday,6,5,59
2023,9,25,Monday,6,31,53
2023,9,25,Monday,6,32,24
2023,9,25,Monday,6,41,5
2023,9,25,Monday,6,42,5
2023,9,25,Monday,7,5,38
2023,9,25,Monday,7,31,199
2023,9,25,Monday,7,32,47
2023,9,25,Monday,7,41,5
2023,9,25,Monday,7,42,15
2023,9,25,Monday,8,5,56
2023,9,25,Monday,8,31,159
2023,9,25,Monday,8,32,63
2023,9,25,Monday,8,41,5
2023,9,25,Monday,8,42,24
2023,9,25,Monday,9,5,59
2023,9,25,Monday,9,31,124
2023,9,25,Monday,9,32,50
2023,9,25,Monday,9,42,22
2023,9,25,Monday,10,5,51
2023,9,25,Monday,10,31,154
2023,9,25,Monday,10,32,55
2023,9,25,Monday,10,41,1
2023,9,25,Monday,10,42,26
2023,9,25,Monday,11,5,43
2023,9,25,Monday,11,31,223
2023,9,25,Monday,11,32,59
2023,9,25,Monday,11,41,8
2023,9,25,Monday,11,42,23
2023,9,25,Monday,12,5,34
2023,9,25,Monday,12,31,205
2023,9,25,Monday,12,32,41
2023,9,25,Monday,12,41,4
2023,9,25,Monday,12,42,21
2023,9,25,Monday,13,5,17
2023,9,25,Monday,13,31,212
2023,9,25,Monday,13,32,70
2023,9,25,Monday,13,41,2
2023,9,25,Monday,13,42,16
2023,9,25,Monday,14,5,17
2023,9,25,Monday,14,31,210
2023,9,25,Monday,14,32,65
2023,9,25,Monday,14,41,5
2023,9,25,Monday,14,42,15
2023,9,25,Monday,15,5,17
2023,9,25,Monday,15,31,221
2023,9,25,Monday,15,32,68
2023,9,25,Monday,15,41,5
2023,9,25,Monday,15,42,16
2023,9,25,Monday,16,5,19
2023,9,25,Monday,16,31,135
2023,9,25,Monday,16,32,29
2023,9,25,Monday,16,41,4
2023,9,25,Monday,16,42,11
2023,9,25,Monday,17,5,21
2023,9,25,Monday,17,31,115
2023,9,25,Monday,17,32,16
2023,9,25,Monday,17,41,8
2023,9,25,Monday,17,42,5
2023,9,25,Monday,18,5,43
2023,9,25,Monday,18,31,133
2023,9,25,Monday,18,32,30
2023,9,25,Monday,18,41,4
2023,9,25,Monday,18,42,20
2023,9,25,Monday,19,5,42
2023,9,25,Monday,19,31,142
2023,9,25,Monday,19,32,23
2023,9,25,Monday,19,41,1
2023,9,25,Monday,19,42,10
2023,9,25,Monday,20,5,29
2023,9,25,Monday,20,31,94
2023,9,25,Monday,20,32,18
2023,9,25,Monday,20,41,5
2023,9,25,Monday,20,42,14
2023,9,25,Monday,21,5,31
2023,9,25,Monday,21,31,96
2023,9,25,Monday,21,32,20
2023,9,25,Monday,21,42,12
2023,9,25,Monday,22,5,19
2023,9,25,Monday,22,31,44
2023,9,25,Monday,22,32,15
2023,9,25,Monday,22,42,8
2023,9,25,Monday,23,5,19
2023,9,25,Monday,23,31,30
2023,9,25,Monday,23,32,7
2023,9,25,Monday,23,42,17
2023,9,26,Tuesday,0,5,23
2023,9,26,Tuesday,0,31,14
2023,9,26,Tuesday,0,32,3
2023,9,26,Tuesday,0,42,8
2023,9,26,Tuesday,1,5,46
2023,9,26,Tuesday,1,31,11
2023,9,26,Tuesday,1,32,1
2023,9,26,Tuesday,1,42,11
2023,9,26,Tuesday,2,5,68
